('FLC', -95.71871529633549)
('FLMI', 34.59689777545227)
('CLD1', -33.37573607329067)
('AMROUFL', 30.808476720503187)
('FLNPV', 25.918441367036685)
('CLDTA', -21.551600269644695)
('OAFLCH', 21.445177312804283)
('WAVRFLT', -16.232646449486204)
('FLLT', 13.833391390360456)
('ROUAFLGR', -13.512508667190666)
('ROUAAM', -11.541218962839377)
('FIAFLCH', 11.423601999963376)
('FLMT', 10.837202206652652)
('XINTFL', 7.356746009005389)
('ROUAFLAM', -6.260952104947842)
('WAVFLR', -5.451868739576435)
('XINTLL', -3.0643914815237827)
('ROUAFLNT', -1.5533942466397894)
('AMROUL', 1.3536140222065396)
('PRCAD', -0.7821981595549761)
('PRCAEPS', 0.775079458674214)
('ROUAGR', 0.48252281215479176)
('OAOLCH', -0.28162027860331296)
('PNCID', 0.2468136922783025)
('OLMI', -0.24446403099109143)
('FIALP', 0.229351158509359)
('LLC', -0.22113148753713605)
('PNCAEPS', -0.21096620939551528)
('PNCAD', 0.207878413262446)
('PNCIEPS', -0.19475512389442634)
('PNCWID', -0.19379101157401463)
('PNCWIEPS', 0.18796232576232705)
('NI', -0.16290168246802128)
('IB', 0.16232162040217268)
('XIDO', 0.1495857107294958)
('AFE', 0.12115485002832892)
('OLNPV', -0.11494899751203329)
('RDIPD', 0.0876875926158527)
('RDIPEPS', -0.08584345463917567)
('XLT', 0.08219727548038719)
('GLEPS', 0.06567100220392323)
('GLD', -0.05794676393309939)
('ROUANT', 0.04414956542179487)
('WAVRLT', 0.044041325551906915)
('WAVLR', -0.04387762973899738)
('OLMT', 0.028058759201751986)
('GLCED', -0.026992156285755523)
('SPID', -0.025393488743497863)
('consensus_p1', -0.023454590722272586)
('SPCED', -0.023358346226802145)
('actual_p1', 0.022928462402935824)
('XOPTD', 0.022190608442041928)
('WDEPS', 0.021732565337091968)
('GLCEEPS', 0.021098458398446825)
('PBPVN', -0.019719343968118714)
('DTEEPS', 0.018836573258349917)
('WDD', -0.01883037254078353)
('SPCEEPS', 0.017807921361720828)
('DTED', -0.016284819863612958)
('XOPTEPS', -0.01614162118499346)
('PCUV', -0.015329677921212991)
('PCUP', 0.01483769215714365)
('NIADJ', 0.013555542921060981)
('RCEPS', 0.01334572538711472)
('IBADJ', -0.01273709524606137)
('RCD', -0.010902166383592945)
('SPIEPS', 0.009395734940430967)
('GDWLID', -0.009179364153876445)
('UPMPFS', 0.009168170117663592)
('adjex_f', 0.008169246703369267)
('ARCED', 0.0075748639006447144)
('OPREPSX', 0.006983848146311202)
('AQEPS', 0.006041060023827603)
('SETEPS', 0.005779426785735325)
('ARCEEPS', -0.00523643663179878)
('SETD', -0.005112342071884935)
('AQD', -0.004881494745913729)
('CONSENSUS', 0.004489142785257627)
('EPSPX', -0.003932672361263015)
('DPACC', -0.00388585202940097)
('EPSFX', 0.0037414033329417192)
('NRTXTEPS', 0.003553157490719774)
('OPEPS', -0.003034139412304668)
('fyear', 0.0028458328782942294)
('accruals', 0.0026928358845956357)
('RREPS', -0.001971437700714971)
('RRD', -0.0017270814050018967)
('UPMSUBP', -0.0014139612360281892)
('CSTKE', -0.0008202298373698566)
('NIECI', 0.0007013016442344129)
('UPDVP', -0.0006677150116233055)
('actual', -0.0006475939192960804)
('EPSPI', 0.0005907600164449633)
('DVP', 0.0005846370258560402)
('PNCIA', -0.0005315547566186463)
('NRTXTD', -0.0005230558612451664)
('GDWLIEPS', 0.0004267632679170605)
('TSTKME', -0.00042364776732921794)
('TSTKP', -0.00038668196208746644)
('CSHRC', 0.0003515162926005991)
('prcc_f', -0.00030705688547830873)
('PNCIP', 0.0002971422581859104)
('SCF', 0.0002870552838329381)
('PDVC', 0.00028110330488137264)
('DVPA', -0.00026557776872584174)
('OPTGR', 0.00024828441395486137)
('XI', -0.00024624063289591797)
('DO', -0.0002410729158618119)
('DPACNR', 0.00023488863467344378)
('IBCOM', -0.00023367523821871128)
('WCAPCH', -0.00022146425497429788)
('PPROR', 0.00020962307781078032)
('CAPR3', 0.0002056422866568283)
('UWKCAPC', -0.0002032591704769802)
('TXTUBPOSINC', 0.00018075707584503525)
('OPTDR', -0.00017934250552882603)
('TXTUBSOFLIMIT', -0.00017152674384889152)
('OPTRFR', 0.00016341989488006582)
('TXTUBPOSPINC', 0.00015876035913228725)
('TXTUBPOSDEC', -0.00015849848482875532)
('UNWCC', 0.00015705004991062391)
('TXTUBEND', -0.00015517227869149552)
('TXTUBADJUST', 0.00014976361838510768)
('TXTUBBEGIN', 0.00014608843976773866)
('TXTUBSETTLE', -0.00014522760869332269)
('ITCC', -0.00014313155630401377)
('TXTUBPOSPDEC', -0.00013294708663048188)
('LLLT', -0.00012577046050983413)
('EPSFI', 0.00012016276709888294)
('PPRCI', -0.00010072373718957549)
('RRA', -9.940637041662946e-05)
('BKVLPS', 9.511325443178897e-05)
('CAPR1', 8.951374033380408e-05)
('CB', 8.81104870689986e-05)
('UPMPF', -8.484003155524917e-05)
('OPTCA', -8.364009324752651e-05)
('CLD3', 7.857468240033208e-05)
('OPTPRCBY', 7.80153284974279e-05)
('OPTPRCEX', -7.649064076007545e-05)
('OPTPRCWA', -7.571243271496664e-05)
('XSTFO', -6.906929966735403e-05)
('ACQNIINTC', 6.289705231009148e-05)
('TXBCOF', 6.204037602628408e-05)
('RRP', 6.155739579406447e-05)
